my_id;search_id;product_id_buy
2797365406025453810_4611687124918365261_24;accessoirereinedesneiges;mp01223895
2801418955357228113_4611687350942695079_140;haierrefrigerateurrouge;haierfe636crj
2801418955357228113_4611687350942695079_197;continentaledisoncongelateur;cecuf65w
2801418955357228113_4611687350942695079_197;filtreaeaufrigoamericainwhirpool;bunfiltrefrigo2
2801418955357228113_4611687350942695079_188;hppcportable15r128nfblancperle;k4d56ea
2801418955357228113_4611687350942695079_197;setde3valise;149123bordeaux
2801418955357228113_4611687350942695079_80;hotpointlavevaisselle;hotlfb5b019bfr
2801418955357228113_4611687350942695079_198;dieselbasketsprisonwantedhomme;y00989t1003
2801418955357228113_4611687350942695079_198;samsunggalaxygrand;samsusghi9060in
2801418955357228113_4611687350942695079_198;secheservietteola;auc8029482965630
2801418955357228113_4611687350942695079_198;haierhb21fwrssaa;haierhb21fwrssaa
2801418955357228113_4611687350942695079_198;ipodtouch32gobleu;ipodtouchgen532b
2801418955357228113_4611687350942695079_198;iphone4s8goblanc;app3663231229342
2801418955357228113_4611687350942695079_187;aspirateursanssacoceanic;oceavc10wb
2801418955357228113_4611687350942695079_168;panasonictx55as640smarttvledfullh;garseb02iastvtj
2801418955357228113_4611687350942695079_131;hppcportable15r128nf;garseb02inflapte
2801418955357228113_4611687350942695079_115;appleipadmini2wifi16go;me279nfa
2801418955357228113_4611687350942695079_198;samsunghte350homecinemadvd51;samsunghte350
2802599109290958017_6917530357475261301_464;conserve;gea3023082500012
2802599109290958017_6917530357475261301_463;patespanzani;pa285919033
2802599109290958017_6917530357475261301_464;conserve;pn058813
2802599109290958017_6917530357475261301_463;serviettehygieniquealways;pr055123005x4
2803515855027896695_4611687358459618035_3;coqueiphone4ssillicone;eli2009965091601
2810303406594132640_6917530367136989279_96;meubleplaymobil;pl5334
2820006111376542461_6917530135742722790_4;bonbon;caram219064
2821438972596036075_6917530129837427418_147;machineapanini;tefalgc305012
2829801344791026019_6917530136279544390_19;laguiolemenagere24piecesmulticolore;7214multico
2836146403056622211_6917530147016970819_69;lisseurremington;remingtons8102
2839303594861211206_4611687136192663690_36;couchepampers;pam4015400549963
2839672521814514264_6917530146480209345_46;clicclac;texcctgr
2844814742276605507_4611687120086502389_114;canon1785;canon1785isusm
2846684736677547644_6917530150238264275_42;kitpietonorigineappleiphone5;app2009979451361
2848967155313083660_6917530145406341251_25;cartemicrosd16go;sammbms16deu
2852235097144374096_4611687139950733850_131;barbecueelectrique;bom4004470124019
2852235097144374096_4611687139950733850_131;machineapain;cemp838dig
2860632048118336207_4611687121697240455_263;lunettessoleilfemme;ray8053672234107
2863022135141538401_6917530148627809940_22;epluchepomme;lin3662348001254
2863989239370032654_4611687142635116929_31;gta5ps4;5026555417006
2864516618404309328_4611687129750214623_23;radioreveilprojecteur;akaiacp39ks
2864883715701555103_4611687125992134927_339;jusdorange;fr110941192
2866748461652445668_4611687145319434264_84;etuisamsunggalaxya3;auc8806086513548
2866805657731935115_4611687130287208185_73;grillepainelectrique;hko3760124951134
2868435333680268044_4611687133508322873_11;graineradisnoir;auc2009943134894
2869001474794401061_6917530145943232585_33;filetoilestarline24;ore5400182188421
2878015288296050134_6917530137353259992_52;playmobile123;pl6796
2878625422762906558_6917530149701302528_187;pesepersonnemecanique;beurerms50b
2882884527081983763_6917530145406328781_19;sacalanger;101736001
